Date_Post,Job_Title,Company_Name,Job_Link,Location,Job_Type,Work_Type,Experience_Level,Category,Skills,Job_Description,Job_Requirement
16 days ago,AR Accountant,Selah ElTelmeez For Publishing & printing -,https://wuzzuf.net/jobs/p/3tMMYIaqrNlt-AR-Accountant-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt,"Obour City, Cairo, Egypt ",Full Time,On-site,'3 - 5,AR Accountant,accountant; Accounting; AR Accountant; Finance; AR; Financial Analysis; ERP; ERP System; excel,"Settlement of the daily financial covenants: 
 Receipt of trust documents and matching signatures. 
 Prepare the Excel sheet to settle the financial covenants. 
 Start the entries of the financial covenants on the system, whether the covenants or the billing of purchase orders. 
 Payment of supplier invoices for the financial covenants on the system. 
 Checking the custody balance after entering it into the system. 
 Follow up the balances of the financial covenants and make monthly reconciliations. 
 Follow up on the current Account (Third party). 
 Track the cash flow of payment methods such as Fawry and T-pay by matching the number of subscribers between financial reports with the marketing dashboard. 
 Updates accounts receivable and assists with issuing the invoices, ensuring the accuracy of all invoices. 
 Take part in preparing the inventory of the company’s stores throughout the financial year. 
 Support in the closing of FS yearly with the external auditor. 
 Provide Supporting documentation for auditors.","Bachelor's degree in Finance or Accounting. 
 3-5 years of experience in accounting 
 Previous experience in Receivable 
 Proficient in Microsoft Office programs (Word, Excel, and PowerPoint). 
 Background in ERP System"
16 days ago,Account Manager,Techno alex -,https://wuzzuf.net/jobs/p/o707xwNcSKq7-Account-Manager-Techno-alex-Alexandria-Egypt,"Smouha, Alexandria, Egypt ",Full Time,On-site,'5 - 7,Account Manager,account manager; Account; Manager; Financial Analysis,"he Accounts Manager is responsible for: 
 • Supervising accounting operations within the procurement department. 
 • Managing financial transactions and controlling financial records. 
 • Preparing financial reports and cost analyses. 
 • Handling financial transactions, such as bank reconciliations and payments. 
 • Preparing financial budgets and monitoring project costs. 
 • Managing supplier and contractor payments. 
 • Following up on cash flow and overseeing financial liquidity. 
 • Reviewing financial documents and ensuring accuracy in transactions. 
 • Using financial systems to maintain records and generate reports. 
 • Monitoring and analyzing financial data to support decision-making.",No list items found in the requirements section.
16 days ago,IoT Engineer,HITS Solutions -,https://wuzzuf.net/jobs/p/WleQ0i3oYrFB-IoT-Engineer-HITS-Solutions-Cairo-Egypt,"Nasr City, Cairo, Egypt ",Full Time,On-site,'1 - 3,IoT Engineer,IOT; Engineering; Computer Science; Information Technology (IT); MQTT; Embedded Systems; Python,"General duties and responsibilities: 
 Architect, implement, and test IoT systems and components. 
 Develop and deploy firmware for embedded devices. 
 Integrate IoT devices with cloud services and APIs. 
 Optimize systems for power efficiency, data reliability, and scalability. 
 Monitor and troubleshoot connectivity and data transmission issues. 
 Stay current with IoT protocols, standards, and emerging technologies. 
 Ensure all IoT solutions meet security and reliability standards. 
 Deliver projects on schedule, maintaining high quality. 
 Work effectively both independently and as part of a cross-functional team. 
 Manage multiple tasks and prioritize in high-pressure environments. 
 Communicate complex technical details to diverse audiences.","2+ years of experience in IoT or embedded systems engineering. 
 Strong understanding of IoT protocols (MQTT, CoAP, HTTP) and network fundamentals. 
 Proficiency with embedded C/C++, Python, or similar languages. 
 Experience with cloud platforms (AWS IoT, Azure IoT). 
 Solid knowledge of PLCs (Programmable Logic Controllers) and industrial automation systems. 
 Skilled in troubleshooting and debugging IoT hardware and software. 
 Strong analytical and problem-solving abilities. 
 Excellent communication and collaboration skills. 
 Ability to adapt quickly to new tools and technologies in the IoT space."
16 days ago,Software Project Coordinator,Informatique Education -,https://wuzzuf.net/jobs/p/OUV6llxhhDzq-Software-Project-Coordinator-Informatique-Education-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'4+,Software Project Coordinator,Computer Science; Information Technology (IT); Management; Microsoft Project; Project; Project Management; Software Development,"Coordinate project management activities, resources, equipment and information 
 Break projects into doable actions and set timeframes 
 Liaise with clients to identify and define requirements, scope and objectives 
 Assign tasks to internal teams and assist with schedule management 
 Make sure that clients’ needs are met as projects evolve 
 Help prepare budgets 
 Analyze risks and opportunities 
 Oversee project procurement management 
 Monitor project progress and handle any issues that arise 
 Act as the point of contact and communicate project status to all participants 
 Work with the Project Manager to eliminate blockers 
 Use tools to monitor working hours, plans and expenditures 
 Issue all appropriate legal paperwork (e.g. contracts and terms of agreement) 
 Create and maintain comprehensive project documentation, plans and reports 
 Ensure standards and requirements are met through conducting quality assurance tests",No list items found in the requirements section.
16 days ago,Cost Accountant - Furniture Manufacturing,C.Reality  -,https://wuzzuf.net/jobs/p/tIPnPZ7Zn5QQ-Cost-Accountant---Furniture-Manufacturing-C-Reality-Giza-Egypt,"Abu Rawash, Giza, Egypt ",Full Time,On-site,'3 - 5,Cost Accountant - Furniture Manufacturing,Cost Accountant; accountant; Cost; Cost Accounting; Finance; Accounting; Budgeting; Financial Analysis; Manufacturing,"Analyze production costs and variances to identify trends and areas for improvement. 
 Prepare detailed cost reports and presentations for management review. 
 Evaluate the cost structure of products and recommend pricing strategies. 
 Assist in the preparation of annual budgets and financial forecasts. 
 Monitor budget performance and report on variances, providing explanations and recommendations. 
 Oversee inventory valuation and ensure accurate recording of raw materials, work-in-progress, and finished goods. 
 Conduct regular inventory audits to maintain accuracy and minimize discrepancies. 
 Develop and implement cost control measures to improve efficiency and reduce waste. 
 Collaborate with production teams to identify cost-saving opportunities without compromising quality. 
 Establish standard costs for products based on historical data and market analysis. 
 Regularly review and update standard costs as necessary to reflect changes in material prices or labor rates. 
 Prepare monthly, quarterly, and annual financial statements related to cost accounting. 
 Provide insights into profitability by product line and assist in decision-making processes. 
 Work closely with production, procurement, and sales teams to gather data and provide financial insights. 
 Support the finance team with ad-hoc analysis and reporting as needed. 
 Ensure compliance with accounting standards and company policies. 
 Assist with internal and external audits related to cost accounting practices.","University degree in Accounting, Finance. 
 3–5 years of experience in cost accounting,preferably in the furniture or manufacturing industry. 
 Strong knowledge of cost accounting principles, budgeting, and financial analysis. 
 Proficient in accounting software and Microsoft Excel. 
 Excellent analytical skills with a keen attention to detail. 
 Strong communication skills, both verbal and written. 
 Ability to work independently."
16 days ago,Technical Office Manager,NIG -,https://wuzzuf.net/jobs/p/UuqYLa9rIoV8-Technical-Office-Manager-NIG-Cairo-Egypt,"New Capital, Cairo, Egypt ",Full Time,On-site,'10 - 15,Technical Office Manager,Construction; Design; Microsoft Office; Revit; Technical Office; technical; Engineering,"Design Review: 
 Conduct comprehensive reviews of architectural designs to ensure compliance with project specifications, standards, and client expectations. 
 Collaborate with internal and external design teams to ensure the feasibility and functionality of architectural solutions. 
 2. Shop Drawings Production: 
 Oversee the production and approval of detailed shop drawings, ensuring accuracy and alignment with project requirements, 
 Ensure shop drawings are in coordination with structural, MEP, and other related drawings. 
 3. Coordination & Integration: 
 Lead coordination between architectural, structural, and MEP teams to resolve design conflicts and ensure seamless integration of all disciplines. 
 Address design changes and ensure they are communicated and implemented effectively. 
 4. BIM and Revit Management: 
 Manage the development and integration of BIM models for architectural works, ensuring that all models are updated regularly and in line with project progress. 
 Utilize Revit for producing, modifying, and managing architectural documentation.","Minimum of 10 years of experience in architectural design office and construction technical office. 
 Proficient in **BIM** and **Revit**, with extensive experience using these tools for design review and shop drawing production. 
 Strong experience in coordinating between architectural, structural, and MEP disciplines. 
 Strong leadership and communication skills. 
 High proficiency in **BIM** and **Revit**. 
 In-depth knowledge of architectural design, construction methods, and building regulations. 
 Excellent problem-solving abilities, particularly in resolving design conflicts. 
 Strong attention to detail and commitment to high-quality work. 
 Males only ."
16 days ago,Procurement Engineer,Bahna Engineering -,https://wuzzuf.net/jobs/p/IosGiFH0XB1j-Procurement-Engineer-Bahna-Engineering-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'3 - 5,Procurement Engineer,Civil Engineering; negotiation skills; Procurement; Purchasing; Negotiation; Planning; Communication; Civil,"Prepare proposals, request quotes and negotiate purchase terms and conditions 
 Prepare and issue purchase orders and agreements 
 Monitor supplier performance and resolve issues and concerns 
 Inspect and evaluate the quality of purchased items and resolve shortcomings 
 Analyze industry and demand trends and support senior management with the development and implementation of sourcing strategies",No list items found in the requirements section.
16 days ago,Customer Care Manager,Roya Developments -,https://wuzzuf.net/jobs/p/7NU5hBEZUScn-Customer-Care-Manager-Roya-Developments-Cairo-Egypt,"Sheraton, Cairo, Egypt ",Full Time,Hybrid,'10 - 20,Customer Care Manager,Customer Support; Customer Care; Customer Service,"Leading the Customer Care staff. 
 Resolving complex issues and inquiries. 
 Constant follow up on customer’s pending issues up till accomplishment. 
 Advice on any information the customer may need. 
 Manage the communication channel between the customers and all departments to ensure customer requirements are fulfilled within the company policies and procedures. 
 Develop customer care procedures, policies, and standards. 
 Keep accurate records and document customer care actions and discussions. 
 Analyse statistics and compile accurate reports. 
 Adhere to and manage the approved budget. 
 Maintain an orderly workflow according to priorities.","Minimum 10 years of relevant experience within real estate industry. 
 Proficient in Microsoft Office Word and Excel. 
 Experience managing and optimizing different communication channels, including voice and non-voice interactions. 
 Excellent organizational skills. 
 Ability to travel locally."
16 days ago,Senior Architect Designer,Monaqasat -,https://wuzzuf.net/jobs/p/3TZsQplSjvlY-Senior-Architect-Designer-Monaqasat-Cairo-Egypt,"Cairo, Egypt ",Full Time,Remote,'5+,Senior Architect Designer,Adobe Photoshop; Revit; AutoCAD; adobe; Architecture; Computer Science; Design; Information Technology (IT),"Oversee all design projects, from conception to delivery 
 Manage projects to ensure high-quality, innovative, and functional design 
 Take the “Brief” to identify clients’ needs and put together feasibility reports and design proposals. 
 Produce detailed blueprints and make any necessary corrections 
 Compile project specifications 
 Keep within budgets and timelines. 
 Knowledgeable with standards, building codes, guidelines, and regulations in Saudi Arabia 
 Cooperate with other coworkers to ensure quality 
 Follow architectural trends and advancements. 
 He must continually refine and enhance design methodologies and submission processes.","A Bachelor's or Master's degree in Architecture is required. 
 Minimum 5 years of working experience 
 Excellent drawing skills and familiarity with design software (Adobe Photoshop, Revit and AutoCAD)"
16 days ago,Cost Engineer ( Automotive ),IMUT International Marathon United Technology -,https://wuzzuf.net/jobs/p/N4Wmmu8IEkjA-Cost-Engineer-Automotive-IMUT-International-Marathon-United-Technology-Cairo-Egypt,"Obour City, Cairo, Egypt ",Full Time,On-site,'3 - 5,Cost Engineer ( Automotive ),Cost Engineering; Cost Analysis; Mechanical Engineering; Engineering; Mechanical; automotive; Automotive Spare Parts; Cost Management,"Monthly costing and controlling material costs of material quantities are reasonable and avoid wrong requirements of components. 
 Production orders analysis and controlling, by reviewing the required bill of material & the actual withdrawn bill of material [Plan Actual analysis] 
 Budget actual analysis, by reviewing the plan bill of material and costs with respect to the budgeted bill of material and costs. 
 Production orders analysis for all deal orders to control the actual material costs for the deal and make sure all components are withdrawn properly 
 Review factory consumptions for production orders and control the withdrawal of unnecessary items on the production orders so we can have a real material cost on each production order 
 A cost engineer is responsible for Manufacturing cost and expenses reports for the production process 
 Identify and mitigate risks, and develop strategic techniques to reduce the excessive financial loss for project. 
 Cost engineers conduct data and statistical analysis to measure time deliverables and quality checks to ensure profitability and adherence to business objectives. 
 Primary responsibility will be to calculate part prices and tooling investments, both in new projects and support projects currently in progress 
 Drive systems solutions that optimize cost, quality and time till finalize the process of production 
 Develop project schedules that align with the project team and communicate progress against the schedule to maintain alignment with all subsystems","B.Sc. Degree in Mechanical , Mechatronics Engineering 
 from 3 to 5 years working experiences 
 Technical background or familiar with product cost principles, cost management and cost analysis skills 
 Project Management skills are preferred 
 Manufacturing background is a must (Automotive filed)"
16 days ago,SR. Outbound Hotel Reservation Agent (Africa Focus),BCD-EWT   -,https://wuzzuf.net/jobs/p/NeqKKrQqIDOQ-SR-Outbound-Hotel-Reservation-Agent-Africa-Focus-BCD-EWT-Cairo-Egypt,"Heliopolis, Cairo, Egypt ",Full Time,On-site,'7 - 10,SR. Outbound Hotel Reservation Agent (Africa Focus),Communication skills; Booking; Customer Support; hotel; hotel reservations; Outbound; Tourism,"Handle outbound calls to confirm reservations for hotels in African countries, providing guests with all necessary booking details. 
 Assist in making, modifying, and canceling reservations for various hotels and destinations across Africa. 
 Provide guests with in-depth information about hotel rates, services, availability, and local travel information related to African destinations. 
 Coordinate with local hotels in Africa to ensure special requests are handled promptly and guest needs are met. 
 Upsell hotel services such as room upgrades, special packages, and experiences tailored to African destinations. 
 Maintain accurate records of all reservations, special requests, and communication with clients and hotels. 
 Resolve any booking issues or discrepancies with hotels in Africa to ensure guest satisfaction. 
 Build strong relationships with hotels and other travel-related partners across Africa to improve guest offerings.","Previous experience in a hotel reservations or travel booking role with a focus on Africa is preferred. 
 Strong understanding of the African hotel and tourism market. 
 Excellent communication skills with the ability to handle outbound calls professionally. 
 Familiarity with popular travel destinations in Africa and local tourism trends. 
 Ability to work in a fast-paced environment while maintaining attention to detail. 
 Proficient in using hotel reservation systems and Microsoft Office Suite. 
 Fluency in [languages required, e.g., English, French, Arabic] is a plus, especially if dealing with multiple African regions."
16 days ago,Business Development Specialist,Sky Distribution -,https://wuzzuf.net/jobs/p/EEjxPZmHg20p-Business-Development-Specialist-Sky-Distribution-Giza-Egypt,"Sheikh Zayed, Giza, Egypt ",Full Time,On-site,'1 - 3,Business Development Specialist,Business Development; E-Marketing; Growth; Market Research; Marketing; Advertising; Development; Research,"1. Paid Media & Agency Coordination 
 Manage and optimize paid advertising campaigns (Google Ads, Meta Ads, LinkedIn Ads, etc.) in collaboration with external agencies. 
 Monitor campaign performance, analyze key metrics, and provide actionable insights to maximize ROI. 
 Ensure advertising budgets are spent efficiently and align with business objectives. 
 Collaborate with internal teams to optimize ad creatives, messaging, and landing pages for conversion. 
 Stay updated on digital marketing trends and emerging advertising strategies. 
 2. Business Development & Lead Generation 
 Identify and research potential business opportunities, prospective clients, and partnerships. 
 Develop and execute outreach strategies via LinkedIn, email, and other channels to engage potential clients. 
 Qualify leads and coordinate initial meetings with the sales team. 
 Build and maintain a prospect database, tracking interactions and follow-ups to improve conversion rates. 
 Assist in developing sales decks, proposals, and pitch materials for new business opportunities. 
 3. Market Research & Strategy Support 
 Conduct competitor analysis, industry research, and trend identification to support business and marketing decisions. 
 Gather insights on customer behavior, market gaps, and emerging opportunities. 
 Provide research-backed reports to support strategic decision-making across marketing and sales teams.","1-3 years of experience ingrowth marketing, paid media, business development, or market research. 
 knowledge ofGoogle Ads, Meta Ads, LinkedIn Ads, and digital advertising platforms. 
 Excellentcommunication and organizational skills. 
 Self-motivated, proactive, and able to work independently while collaborating with teams."
16 days ago,Marketing Specialist,TORU Office Furniture -,https://wuzzuf.net/jobs/p/T90mwyen85ZT-Marketing-Specialist-TORU-Office-Furniture-Cairo-Egypt,"Nasr City, Cairo, Egypt ",Full Time,On-site,'1 - 4,Marketing Specialist,E-Marketing; marketing specialist; Social Media; media; Marketing; specialist; Computer Skills; CRM; Digital,"We seek a Marketing Specialist to develop and execute marketing strategies, manage digital and traditional marketing campaigns, and analyze market trends. The ideal candidate is creative, data-driven, and strongly understands brand positioning and audience engagement.","Bachelor’s Degree: A degree in Marketing, Communications, Business, or a related field is often required. 
 Proven Experience: At least 1-3 years of email, digital, or social media marketing experience. 
 Skills: Strong understanding of digital marketing, content marketing, and SEO. 
 Proficiency in marketing analytics tools (Google Analytics, Facebook Insights, etc.). 
 Excellent communication and content writing skills. 
 standing of digital marketing, content marketing, and SEO. 
 Experience with Google Ads, Meta Ads, and email marketing tools. 
 Proficiency in marketing analytics tools (Google Analytics, Facebook Insights, etc.). 
 Excellent communication and content writing skills. 
 Knowledge of graphic design tools (Canva, Photoshop, Illustrator)."
16 days ago,Tendering and Procurement Engineer,asquared -,https://wuzzuf.net/jobs/p/SRJEV4yZVAOb-Tendering-and-Procurement-Engineer-A-Squared-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Full Time,On-site,'1 - 5,Tendering and Procurement Engineer,Civil; Procurement; Engineering; Tendering; Architecture; Construction,"Perform detailed technical review of tender documents (Specs, Drawings, Bill of Quantities [BOQ]). 
 Manage the whole tendering cycle for all construction projects. 
 Estimate materials cost in accordance approved technical drawings and sub-contractors relevant prices. 
 Manage work breakdown for projects and complete pricing required with all suppliers and sub-contractors. 
 Manage selection and hiring process of sub-contractors after securing best competitive prices and complete technical assessment required. 
 Prepare, document sub-contractors agreements in coordination with finance team. 
 Keep track of projects’ statuses, create a checklist for assigned duties and tasks, and report relevant information to when required. 
 Conduct site visits to investigate the environment surrounding the project when needed.","Bachelor Degree of Civil/Architecture  Engineering . 
 1 - 5 Years of Experience in Same Position."
